Site ID,Season,Mussel Species,Plant Species,Sample ID,Material_Ag,Material,Treatment,Flag,CNS Run,CNS Tray,Weight (mg),N2 Area,δ15N At. Air,%N,CO2 Area,δ13C VPDB,%C,SO2 Area,δ34S VCDT,%S,HO Run,HO Tray,weight (mg),H2 Amp,%H,δ2H vs. VSMOW,CO Amp,%O,δ18O vs. VSMOW,Notes
DEER,Summer,Asian Clam,,DC-AC-01,Mussel Tissue,Mussel Tissue,none,,,,,,,,,,,,,,,Tray 6a,0.383,1184,6.9104,-107.5341,7282,33.4051,12.3413,
DEER,Summer,Asian Clam,,DC-AC-04,Mussel Tissue,Mussel Tissue,none,,,,,,9.635937714,7.956777225,,-30.14292418,47.11334106,,-7.73,0.37,,Tray 6a,0.372,1455,8.6713,-105.0097,8063,37.8909,11.9697,
DEER,Summer,Asian Clam,,DC-AC-07,Mussel Tissue,Mussel Tissue,none,,,,,,,,,,,,,,,Tray 6a,0.374,1178,7.0563,-107.6351,7088,33.4951,13.2777,
DEER,Fall,Asian Clam,,DCAC-01,Mussel Tissue,Mussel Tissue,none,,,Tray 2,1.21,0.0143,10.2742,6.4575,0.3641,-29.1345,38.976,0.0042,-6.816,0.5321,,,,,6.91,-107.53,0.364,33.41,12.34,
DEER,Fall,Asian Clam,,DCAC-04,Mussel Tissue,Mussel Tissue,none,,,Tray 2,1.197,0.0155,10.5355,7.0668,0,-29.1215,0,0.0046,-6.8519,0.5941,,,,,8.67,-105.01,0,37.89,11.97,
DEER,Fall,Asian Clam,,DCAC-07,Mussel Tissue,Mussel Tissue,none,,,Tray 2,1.129,0.0152,10.6591,7.3834,0.3645,-28.765,41.8214,0.0043,-6.7448,0.5859,,,,,7.06,-107.64,0.365,33.5,13.28,
DEER,Summer,Asian Clam,,DC-AC-05,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,9.4182,7.8662,,-29.9792,47.207,,-7.61,0.36,,,,,5.88,-114.37,4117,28.98,17.05,
DEER,Summer,Asian Clam,,DC-AC-02,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,9.2667,7.9754,,-29.9753,46.3432,,-7.87,0.33,,,,,7.67,-112.18,4546,36.73,16.71,
DEER,Summer,Fatmucket,,DC-FM-08,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,11.9626,12.6544,,-29.1166,44.5247,,-6.2,4.73,,,,,4.94,-107.03,3586,27.54,13.2,
DEER,Summer,Fatmucket,,DC-FM-06,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,11.478,10.9104,,-29.5489,45.4317,,-6.42,5.25,,,,,5.5,-105.3,3912,30.15,15.06,
DEER,Summer,Fatmucket,,DC-FM-03,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,10.2004,6.868,,-29.5389,36.6083,,-6.86,6.24,,,,,5.64,-96.61,4617,37.28,17.22,
DEER,Summer,Fatmucket,,DC-FM-10,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,10.543,4.7306,,-29.866,34.2161,,-6.76,5.81,,,,,5.39,-100.96,3687,29.88,17.85,
DEER,Summer,Fatmucket,,DC-FM-09,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,10.4118,4.9663,,-27.9199,28.6544,,-6.11,3.83,,,,,5.18,-106.49,4130,33.02,19,
DEER,Summer,Fatmucket,,DC-FM-01,Mussel Tissue,Mussel Tissue,none,,,,,,11.08286194,8.333636289,,-28.67600892,32.45968361,,-6.25,5.99,,Tray 6a,0.409,980,5.4323,-105.4669,7168,31.2798,9.0786,
DEER,Summer,Fatmucket,,DC-FM-02,Mussel Tissue,Mussel Tissue,none,,,,,,9.817533085,7.373165509,,-29.46848835,37.28125532,,-6.89,4.99,,Tray 6a,0.448,902,4.5181,-98.6773,6667,26.353,8.5642,
DEER,Summer,Fatmucket,,DC-FM-04,Mussel Tissue,Mussel Tissue,none,,,,,,11.25223684,4.670189805,,-29.20577207,27.93788758,,-6.3,3.75,,Tray 6a,0.439,1281,6.4597,-78.5454,8062,33.298,14.6866,
DEER,Summer,Fatmucket,,DC-FM-05,Mussel Tissue,Mussel Tissue,none,,,,,,10.45382452,6.252721613,,-29.27735794,32.28741957,,-6.53,1.85,,Tray 6a,0.41,869,4.7857,-103.559,6691,29.6324,14.4027,
DEER,Summer,Fatmucket,,DC-FM-07,Mussel Tissue,Mussel Tissue,none,,,,,,10.37769897,6.481929389,,-29.39782363,35.67251873,,-6.99,4.35,,Tray 6a,0.406,1161,6.425,-94.2229,7093,31.1488,11.6887,
DEER,Fall,Fatmucket,,DCFM-01,Mussel Tissue,Mussel Tissue,none,,,Tray 2,1.129,0.0131,11.8715,6.3679,0.2613,-28.5446,29.9738,0.0041,-6.9542,0.5543,,,,,5.43,-105.47,0.261,31.28,9.08,
DEER,Fall,Fatmucket,,DCFM-02,Mussel Tissue,Mussel Tissue,none,,,Tray 2,1.084,0.0114,11.1303,5.7572,0.2413,-27.7392,28.8281,0.0038,-5.7788,0.5429,,,,,4.52,-98.68,0.241,26.35,8.56,
DEER,Fall,Fatmucket,,DCFM-04,Mussel Tissue,Mussel Tissue,none,,,Tray 2,1.114,0.0111,11.1857,5.4598,0.2414,-28.0711,28.0685,0.0037,-6.4469,0.5152,,,,,6.46,-78.55,0.241,33.3,14.69,
DEER,Fall,Fatmucket,,DCFM-05,Mussel Tissue,Mussel Tissue,none,,,Tray 2,0.94,0.0128,11.4804,7.4743,0.2514,-28.0173,34.6463,0.0035,-5.9904,0.5678,,,,,4.79,-103.56,0.251,29.63,14.4,
DEER,Fall,Fatmucket,,DCFM-07,Mussel Tissue,Mussel Tissue,none,,,Tray 2,0.969,0.0113,11.0433,6.3602,0.2285,-28.2405,30.5454,0.0034,-6.1034,0.5368,,,,,6.43,-94.22,0.229,31.15,11.69,
DEER,Summer,Plain Pocketbook,,DC-PP-10,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,10.8986,8.8576,,-29.0149,37.3212,,-4.85,8.2,,,,,5.36,-106.1,3430,31.03,15.92,
DEER,Summer,Plain Pocketbook,,DC-PP-09,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,11.1299,6.7483,,-28.5722,29.1275,,-4.21,6.46,,,,,4.35,-109.73,3645,27.38,11.62,
DEER,Summer,Plain Pocketbook,,DC-PP-08,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,11.761,10.8903,,-29.0756,40.4365,,-4.55,5.69,,,,,5.6,-108.01,4051,30.56,13.24,
DEER,Summer,Plain Pocketbook,,DC-PP-06,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,11.196,9.4376,,-29.2068,40.6224,,-4.64,5.4,,,,,6.34,-109.07,4030,31.35,15.16,
DEER,Summer,Plain Pocketbook,,DC-PP-02,Mussel Tissue,Mussel Tissue,none,,,,,,11.36332448,10.03533635,,-28.50853223,37.34347436,,-4.74,5.37,,Tray 6a,0.394,1137,6.4004,-107.1002,7346,33.8365,18.2179,
DEER,Summer,Plain Pocketbook,,DC-PP-03,Mussel Tissue,Mussel Tissue,none,,,,,,11.46048472,10.91341616,,-28.83760922,40.82521039,,-4.65,7.73,,Tray 6a,0.44,1095,5.5272,-90.0574,7237,29.4143,12.6909,
DEER,Summer,Plain Pocketbook,,DC-PP-04,Mussel Tissue,Mussel Tissue,none,,,,,,11.02576778,5.713074879,,-28.54476988,26.02025172,,-4.64,5.41,,Tray 6a,0.45,869,4.3178,-92.6648,6975,27.4009,6.134,
DEER,Summer,Plain Pocketbook,,DC-PP-05,Mussel Tissue,Mussel Tissue,none,,,,,,11.40539387,11.72681887,,-29.01487987,42.47818659,,-4.73,7.03,,Tray 6a,0.379,716,4.2646,-103.9009,5116,24.2897,12.4346,
DEER,Summer,Plain Pocketbook,,DC-PP-07,Mussel Tissue,Mussel Tissue,none,,,,,,11.56064992,10.11926587,,-28.56533719,36.54576081,,-4.18,7.77,,Tray 6a,0.477,1120,5.2154,-99.8132,7775,28.5731,7.5992,
DEER,Fall,Plain Pocketbook,,DCPP-02,Mussel Tissue,Mussel Tissue,none,,,Tray 2,0.982,0.0143,11.159,7.9677,0.271,-28.4322,35.7509,0.004,-5.8425,0.6202,,,,,6.4,-107.1,0.271,33.84,18.22,
DEER,Fall,Plain Pocketbook,,DCPP-03,Mussel Tissue,Mussel Tissue,none,,,Tray 2,1.154,0.0128,11.5332,6.0942,0.2672,-28.2514,29.9951,0.0041,-5.9128,0.5432,,,,,5.53,-90.06,0.267,29.41,12.69,
DEER,Fall,Plain Pocketbook,,DCPP-04,Mussel Tissue,Mussel Tissue,none,,,Tray 2,0.932,0.0103,11.3816,6.048,0.1921,-28.0648,26.7026,0.0033,-5.6947,0.5411,,,,,4.32,-92.66,0.192,27.4,6.13,
DEER,Fall,Plain Pocketbook,,DCPP-05,Mussel Tissue,Mussel Tissue,none,,,Tray 2,1.167,0.0157,11.5471,7.3792,0.2837,-27.8275,31.4848,0.0049,-6.045,0.65,,,,,4.26,-103.9,0.284,24.29,12.43,
DEER,Fall,Plain Pocketbook,,DCPP-07,Mussel Tissue,Mussel Tissue,none,,,Tray 2,0.94,0.0137,11.7558,7.9931,0.2366,-27.8116,32.5991,0.0039,-5.6501,0.6375,,,,,5.22,-99.81,0.237,28.57,7.6,
DEER,Summer,Plain Pocketbook,,DC-PP-01,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,11.3623,9.0663,,-28.1305,34.7037,,-4.64,7.37,,,,,6.07,-102.9,4069,31.84,10.7,
DEER,Summer,Wabash Pigtoe,,DC-WPT-10,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,10.7057,8.6625,,-29.005,40.1219,,-3.19,0.58,,,,,5.89,-107.4,3176,30.55,16.48,
DEER,Summer,Wabash Pigtoe,,DC-WPT-04,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,10.6335,8.2837,,-28.7551,37.5431,,-4.57,0.71,,,,,5.02,-102.39,2746,25.89,11.67,
DEER,Summer,Wabash Pigtoe,,DC-WPT-03,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,9.9005,9.1322,,-29.257,44.2026,,-5.99,0.56,,,,,6.41,-111.85,3362,33.27,20.9,
DEER,Summer,Wabash Pigtoe,,DC-WPT-07,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,11.2231,8.7127,,-29.1893,38.2843,,-6.23,0.63,,,,,5.06,-97.31,3634,31.66,15.63,
DEER,Summer,Wabash Pigtoe,,DC-WPT-09,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,11.7164,8.6007,,-29.1227,42.0205,,-6.51,0.57,,,,,6.16,-101.48,3418,33.1,18.09,
DEER,Summer,Wabash Pigtoe,,DC-WPT-06,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,11.1479,11.886,,-28.2718,45.5063,,-6.62,0.41,,,,,4.97,-104.5,2903,28.74,18.47,
DEER,Summer,Wabash Pigtoe,,DC-WP-01,Mussel Tissue,Mussel Tissue,none,,,,,,,,,,,,,,,Tray 6a,0.381,1080,6.3617,-104.6185,7245,33.872,12.2527,
DEER,Summer,Wabash Pigtoe,,DC-WP-02,Mussel Tissue,Mussel Tissue,none,,,,,,,,,,,,,,,Tray 6a,0.393,1176,6.6782,-81.7057,7413,34.0763,11.925,
DEER,Summer,Wabash Pigtoe,,DC-WP-04,Mussel Tissue,Mussel Tissue,none,,,,,,,,,,,,,,,Tray 6a,0.374,1030,6.1991,-96.5932,7148,33.7656,11.2067,
DEER,Summer,Wabash Pigtoe,,DC-WP-06,Mussel Tissue,Mussel Tissue,none,,,,,,,,,,,,,,,Tray 6a,0.428,892,4.7079,-93.5559,6702,27.9261,8.1136,
DEER,Summer,Wabash Pigtoe,,DC-WP-07,Mussel Tissue,Mussel Tissue,none,,,,,,,,,,,,,,,Tray 6a,0.368,868,5.3182,-90.3541,6095,29.6987,8.4641,
DEER,Fall,Wabash Pigtoe,,DCWP-01,Mussel Tissue,Mussel Tissue,none,,,Tray 2,0.99,0.0134,11.3713,7.3874,0.2919,-28.6882,38.1863,0.0046,-6.0805,0.7103,,,,,6.36,-104.62,0.292,33.87,12.25,
DEER,Fall,Wabash Pigtoe,,DCWP-02,Mussel Tissue,Mussel Tissue,none,,,Tray 2,1.084,0.0133,11.5634,6.7354,0.2498,-28.2852,29.8527,0.0044,-4.1875,0.6285,,,,,6.68,-81.71,0.25,34.08,11.92,
DEER,Fall,Wabash Pigtoe,,DCWP-04,Mussel Tissue,Mussel Tissue,none,,,Tray 2,1.114,0.0189,11.2706,9.268,0.3438,-27.778,39.9737,0.0055,-5.7835,0.7589,,,,,6.2,-96.59,0.344,33.77,11.21,
DEER,Fall,Wabash Pigtoe,,DCWP-06,Mussel Tissue,Mussel Tissue,none,,,Tray 2,0.94,0.0123,11.6447,7.1431,0.2413,-28.2126,33.2532,0.0046,-4.8699,0.7562,,,,,4.71,-93.56,0.241,27.93,8.11,
DEER,Fall,Wabash Pigtoe,,DCWP-07,Mussel Tissue,Mussel Tissue,none,,,Tray 2,0.969,0.0139,11.3556,7.8335,0.2948,-27.7193,39.4035,0.005,-5.4063,0.7867,,,,,5.32,-90.35,0.295,29.7,8.46,
DEER,Summer,Wabash Pigtoe,,DC-WPT-02,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,11.4617,9.2274,,-28.9658,39.3654,,-5.47,0.51,,,,,5.7,-94.12,2852,28.19,14.84,
DEER,Summer,Wabash Pigtoe,,DC-WPT-08,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,10.5382,8.8459,,-28.9815,39.7079,,-6.2,0.38,,,,,5.56,-105.81,3434,29.22,16.49,
DEER,Summer,Wabash Pigtoe,,DC-WPT-01,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,12.29,13.3409,,-28.7286,47.6375,,-5.7,0.61,,,,,5.97,-101.95,3058,30.45,18.59,
DEER,Summer,Wabash Pigtoe,,DC-WPT-05,Mussel Tissue,Mussel Tissue,none,from FA CSV,,,,,10.2715,6.2205,,-29.4805,34.3873,,-6.19,0.43,,,,,6.4,-111.65,3602,32.74,20.08,
DEER,Fall,,,BDC-F01,Biofilm,Biofilm,acid-fumed,,,"Tray 8b, Tray 13",7.3,0.0208,9.554,1.5809,0.9099,-19.3628,14.44,0.0125,1.4761,0.2681,,,,,,,,,,
DEER,Fall,,,BDC-F02,Biofilm,Biofilm,none,,,Trays 14 and 16,6.7,0.0157,9.9746,1.2717,0.5576,-22.5794,10.428,0.007,-3.8104,0.1543,,,,,,,,,,
DEER,Fall,,,BDC-F03,Biofilm,Biofilm,none,no chemistry,,,,,,,,,,,,,,,,,,,,,,
DEER,Summer,,,BDC-S01,Biofilm,Biofilm,acid-fumed,,,"Tray 8b, Tray 13",12.2,0.0268,7.6579,1.2212,0.8518,,8.0887,0.0139,-4.1178,0.1783,,,,,,,,,,"CNS: sample too big, no C data"
DEER,Summer,,,BDC-S02,Biofilm,Biofilm,none,,,Trays 14 and 16,3.3,0.0094,9.7279,1.5481,0.3628,-25.0092,13.7771,0.0054,-2.3842,0.2418,,,,,,,,,,
DEER,Summer,,,BDC-S03,Biofilm,Biofilm,none,no chemistry,,,,,,,,,,,,,,,,,,,,,,
