Site ID,Sample ID,Material,Treatment,Weight (mg),N2 Area,δ15N At. Air,%N,CO2 Area,δ13C VPDB,%C
DEER,GDC-S01,POM,Acid fumed,66.693,,,,0.1081,-32.5909,0.2035
EELR,GER-F01,POM,Acid fumed,67.625,,,,0.0968,-31.3798,0.1796
EELR,GER-S01,POM,Acid fumed,59.392,,,,0.0928,-31.9629,0.1961
FISH,GFC-F01,POM,Acid fumed,67.754,,,,0.2308,-29.2549,0.4274
LAUG,GLC-F01,POM,Acid fumed,59.606,,,,0.1804,-28.8104,0.3506
LAUG,GLC-S01,POM,Acid fumed,69.171,,,,0.1444,-33.0642,0.262
MISS,GMR-F01,POM,Acid fumed,68.219,,,,0.2662,-28.1495,0.452
MISS,GMR-S01,POM,Acid fumed,60.992,,,,0.1069,-29.6974,0.2199
MUDC,GMC-S01,POM,Acid fumed,64.338,,,,0.1005,-30.1618,0.196
MUDC,GMC-F01,POM,Acid fumed,70.415,,,,0.1705,-31.8301,0.3038
RICH,GRC-S01,POM,Acid fumed,26.882,,,,0.0704,-30.2731,0.3032
RICH,GRC-F01,POM,Acid fumed,59.221,,,,0.1153,-33.1389,0.2443
SUGA,GSC-F01,POM,Acid fumed,59.147,,,,0.126,-31.0659,0.2468
WHIT,GWR-F01,POM,Acid fumed,58.221,,,,0.1052,-30.5409,0.2094
WHIT,GWR-S01,POM,Acid fumed,54.836,,,,0.1473,-32.6112,0.3111
WILD,GWC-F01,POM,Acid fumed,28.054,,,,0.0015,-33.5954,0.0067
WILD,GWC-S01,POM,Acid fumed,73.74,,,,0.0796,-36.3642,0.1354
DEER,Corn,Riparian Vegetation,none,3.544,0.0153,4.417,2.9786,0.7841,-11.6539,47.2884
EELR,Corn,Riparian Vegetation,none,3.337,0.0138,2.4298,2.8578,0.7165,-12.4552,45.8933
FISH,Corn,Riparian Vegetation,none,3.633,0.018,2.5491,3.3813,0.0278,-11.6123,1.8892
LAUG,Corn,Riparian Vegetation,none,3.758,0.0109,3.1178,2.0059,0.8124,-12.5806,46.2068
MISS,Corn,Riparian Vegetation,none,3.298,0.0111,2.576,2.3073,0.6265,-12.4805,46.9476
MUDC,Corn,Riparian Vegetation,none,3.891,0.0182,4.7232,3.2402,0.8287,-12.7609,45.5187
RICH,Corn,Riparian Vegetation,none,3.748,0.0165,3.0051,3.0018,0.7844,-11.7301,51.7162
SUGA,Corn,Riparian Vegetation,none,3.464,0.0117,2.4299,2.3343,0.0933,-11.9209,5.7566
WHIT,Corn,Riparian Vegetation,none,4.151,0.0185,1.7256,3.0543,0.8617,-12.2674,51.3002
WILD,Corn,Riparian Vegetation,none,3.461,0.0123,7.048,2.4297,0.7082,-11.6077,50.5668
DEER,LDC-F01,Leaf Litter,none,2.736,0.005,4.6765,1.2387,0.4613,-27.6619,41.6671
DEER,LDC-F01,Leaf Litter,none,3.105,0.0058,5.0205,1.2864,0.5309,-29.7317,42.2528
EELR,LER-F01,Leaf Litter,none,3.179,0.005,2.8923,1.0653,0.625,-27.2811,48.5846
EELR,LER-F01,Leaf Litter,none,3.042,0.0045,2.967,1.016,0.5084,-27.5108,41.3022
FISH,LFC-S01,Leaf Litter,none,3.253,0.0059,5.098,1.2447,0.4883,-28.3064,37.093
FISH,LFC-S01,Leaf Litter,none,3.246,0.0055,4.8204,1.1626,0.4321,-28.4421,32.8951
LAUG,LLC-F01,Leaf Litter,none,3.103,0.0034,2.0465,0.7392,0.6408,-27.668,51.0368
LAUG,LLC-F01,Leaf Litter,none,2.872,0.0032,1.7172,0.7542,0.4915,-28.0699,42.2873
MISS,LMR-S01,Leaf Litter,none,2.93,0.008,3.9677,1.8771,0.4636,-28.4162,39.1036
MISS,LMR-F01,Leaf Litter,none,3.192,0.0055,5.5914,1.184,0.5902,-28.5864,45.6944
MISS,LMR-S01,Leaf Litter,none,3.06,0.0077,3.7645,1.7273,0.5096,-28.6342,41.1574
MISS,LMR-F01,Leaf Litter,none,3.099,0.0056,5.6836,1.2265,0.5995,-28.6595,47.808
RICH,LRC-F01,Leaf Litter,none,2.889,0.0048,0.3938,1.1363,0.5081,-28.5528,43.4629
