Site ID,Season,Mussel Species,Sample ID,15N At. Air,%N,13C VPDB,%C
RICH,Fall,Asian Clam,RCAC-01,7.0798,8.7236,-32.9523,39.8249
RICH,Fall,Asian Clam,RCAC-04,7.6537,9.295,-32.8851,44.9381
LAUG,Summer,Asian Clam,LC-AC-04,9.542631806,7.149975162,-32.5789315,47.27510792
LAUG,Summer,Asian Clam,LC-AC-07,9.62690811,7.562745074,-32.55736524,46.80880896
RICH,Fall,Asian Clam,RCAC-07,7.5483,10.1735,-32.2931,43.3616
RICH,Summer,Asian Clam,RC-AC-01,6.806224277,8.394361891,-31.98591392,44.9038986
FISH,Summer,Asian Clam,FC-AC-01,11.56927627,7.936322601,-31.42611677,46.33666941
FISH,Fall,Asian Clam,FCAC-01,11.5464,0,-31.2363,41.7433
FISH,Fall,Asian Clam,FCAC-06,11.5812,6.7168,-31.1549,43.3186
FISH,Fall,Asian Clam,FCAC-09,11.2637,6.5467,-30.7675,38.0448
FISH,Fall,Asian Clam,FCAC-03,11.3212,6.6643,-30.7667,38.5834
EELR,Fall,Asian Clam,ERAC04,13.2368,7.5585,-30.1538,37.7878
DEER,Summer,Asian Clam,DC-AC-04,9.635937714,7.956777225,-30.14292418,47.11334106
LAUG,Summer,Asian Clam,LCAC-01,9.2365,8.0693,-29.9382,41.4875
SUGA,Fall,Asian Clam,SCAC-04,11.4171,7.3185,-29.7633,41.2219
WHIT,Summer,Asian Clam,WR-AC-01,11.19605264,7.337886812,-29.71748065,46.9105824
EELR,Fall,Asian Clam,ERAC-01,15.4292,7.6436,-29.6423,39.0409
EELR,Fall,Asian Clam,ERAC-07,14.4243,8.3086,-29.4242,41.9207
LAUG,Summer,Asian Clam,LCAC-07,8.8113,7.8439,-29.3774,42.5784
WHIT,Fall,Asian Clam,WRAC-01,10.0689,5.6701,-29.3385,39.7527
LAUG,Summer,Asian Clam,LCAC-04,8.3553,7.9046,-29.268,38.1344
MISS,Fall,Asian Clam,MRAC-04,11.1939,7.3603,-29.2167,37.8665
DEER,Fall,Asian Clam,DCAC-01,10.2742,6.4575,-29.1345,38.976
DEER,Fall,Asian Clam,DCAC-04,10.5355,7.0668,-29.1215,0
SUGA,Fall,Asian Clam,SCAC-07,11.5979,7.8098,-29.1145,41.6965
SUGA,Fall,Asian Clam,SCAC-01,11.8571,8.4121,-29.0232,39.4293
MISS,Fall,Asian Clam,MRAC-01,11.1837,8.5096,-29.0217,0
WHIT,Fall,Asian Clam,WRAC-07,10.8896,7.3651,-28.9353,41.0616
WILD,Fall,Asian Clam,WCAC-01,11.1165,7.0986,-28.8105,40.5096
WHIT,Fall,Asian Clam,WRAC-04,11.1033,6.6519,-28.7849,38.1336
DEER,Fall,Asian Clam,DCAC-07,10.6591,7.3834,-28.765,41.8214
MISS,Fall,Asian Clam,MRAC-07,12.2539,9.7074,-28.6636,43.838
WILD,Fall,Asian Clam,WCAC-04,10.4302,6.6055,-28.6539,38.618
WILD,Fall,Asian Clam,WCAC-07,11.2288,6.8598,-28.1248,38.1374
MUDC,Fall,Asian Clam,MCAC-01,10.0915,8.4489,-27.8402,40.1414
MUDC,Fall,Asian Clam,MCAC-08,9.2747,10.5044,-27.4413,51.4314
MUDC,Fall,Asian Clam,MCAC-05,10.4143,8.0866,-26.6867,35.2502
LAUG,Summer,Asian Clam,LC-AC-06,9.4915,6.3702,-32.8162,46.0599
EELR,Summer,Asian Clam,ER-AC-10-SP,10.9233,7.4525,-32.4976,46.9984
EELR,Summer,Asian Clam,ER-AC-02-SP,10.7919,7.486,-32.3927,46.8793
EELR,Summer,Asian Clam,ER-AC-09-SP,10.535,7.4627,-32.3556,45.8923
EELR,Summer,Asian Clam,ER-AC-08-SP,10.6211,8.5289,-32.0148,47.2908
RICH,Summer,Asian Clam,RC AC-09,6.8754,8.6055,-31.9095,45.8004
WILD,Summer,Asian Clam,WCC AC-02-SP,10.3307,6.3887,-31.6899,48.9979
WILD,Summer,Asian Clam,WCC AC-10-SP,10.1091,6.5878,-31.6007,45.6721
